Greek,English
υπήρχε,there was
δολάρια,dollars
έτοιμος,ready
τύχη,luck
αρχή,principle
πόδια,legs
έρθω,come
άσχημα,bad
οποίο,of which
σωστό,right
όμορφη,beautiful
σίγουρη,confident
τo,the
νέο,new
τελικά,after all
άκουσα,I heard
προσπαθώ,try
βοηθήσει,help
εχω,I have
μοιάζει,it looks like
φίλους,friends
περίπου,about
μπορούσες,you could
αφεντικό,boss
χρειαζόμαστε,we need
δύναμη,power
κάναμε,we did
καλύτερη,better
μείνει,stay
γειά,Hello
γη,Earth
έδωσε,gave
βρήκες,did you find
περίπτωση,case
γιος,son
ραντεβού,appointment
ακούγεται,sounds
πάρτι,party
επόμενη,next
φέρω,bring
κύριοι,gentlemen
ακούω,I hear
καλώς,well
περάσει,pass
περιμένω,I am waiting
μισό,a half
επιλογή,selection
